id;repo_article_id;repo_date;repo_keywords;article_date;article_title;article_abstract;article_link;article_journal;article_citation;fetch_date
1;8878;2020-04-01;../fake-data/blob/hipster.txt;evolve Licensed Cotton Shoes maroon;throughput lavender Kuwait;../fake-data/blob/hipster.txt;Cambridgeshire;Handmade Concrete Fish;Home Loan Account maroon;2020-04-01
2;73753;2020-04-02;../fake-data/blob/hipster.txt;microchip fuchsia Pre-emptive;PCI;../fake-data/blob/hipster.txt;generating;Dynamic Principal;Persistent alliance;2020-04-02
3;14162;2020-04-02;../fake-data/blob/hipster.txt;Legacy RSS HTTP;XSS International static;../fake-data/blob/hipster.txt;Bermuda Mouse;Intelligent enhance Outdoors;deposit user-centric Licensed;2020-04-01
4;88700;2020-04-01;../fake-data/blob/hipster.txt;Virginia XSS Refined Cotton Ball;grow Credit Card Account Planner;../fake-data/blob/hipster.txt;white deposit Rustic Frozen Mouse;Operations alarm matrix;transmit;2020-04-01
5;39616;2020-04-01;../fake-data/blob/hipster.txt;Sleek;Representative yellow;../fake-data/blob/hipster.txt;Berkshire;web-enabled Forward;Concrete;2020-04-02
6;29086;2020-04-01;../fake-data/blob/hipster.txt;Berkshire back up foreground;Handcrafted Fresh Bike navigate bandwidth;../fake-data/blob/hipster.txt;Tools Savings Account Som;Cambridgeshire;Clothing RSS Metal;2020-04-02
7;95866;2020-04-01;../fake-data/blob/hipster.txt;transmit Islands;Programmable solutions Berkshire;../fake-data/blob/hipster.txt;Bosnia and Herzegovina matrix;Rustic;quantifying knowledge base Small Plastic Shoes;2020-04-01
8;23613;2020-04-01;../fake-data/blob/hipster.txt;clicks-and-mortar Generic Plastic Computer Home Loan Account;Bedfordshire Borders Concrete;../fake-data/blob/hipster.txt;generating architectures;Rustic Cotton Pizza bypassing;deposit;2020-04-02
9;6095;2020-04-01;../fake-data/blob/hipster.txt;frictionless;web-readiness;../fake-data/blob/hipster.txt;Taka Handcrafted Soft Shirt Bedfordshire;migration Planner collaborative;intangible Security Burundi;2020-04-02
10;27134;2020-04-01;../fake-data/blob/hipster.txt;Cotton;Tactics;../fake-data/blob/hipster.txt;Savings Account hybrid virtual;Rubber algorithm;Unbranded Granite Towels California;2020-04-02
